loan_status,total_pymnt_inv,int_rate,emp_length,title,delinq_2yrs,total_rec_int,emp_title,mths_since_recent_inq,pub_rec_bankruptcies,open_rv_24m,il_util,num_bc_tl,annual_inc,zip_code,addr_state,dti,mo_sin_old_il_acct,tot_coll_amt,open_il_24m,total_cu_tl,bc_util,mo_sin_old_rev_tl_op,earliest_cr_line,last_credit_pull_d
Paid,765.73,21.45%,10+ years,Debt consolidation,0,468.85,Claims Specialist,18,0,0,69,13,100000,386xx,MS,34.96,134,0,3,0,97,241,Nov-1997,Feb-2018
Paid,1200.67,7.35%,5 years,Credit card refinancing,0,204.17,Senior Java Developer,15,0,3,NA,6,106800,553xx,MO,21.46,38,0,1,0,64.1,51,Sep-2013,Feb-2018
Paid,298.17,6.72%,2 years,Business,0,46.67,President,NA,0,2,NA,9,102000,191xx,PA,18.32,132,0,0,1,41.2,253,Nov-1996,Feb-2018
Paid,590.28,9.44%,3 years,Debt consolidation,0,105.61,Electro Mechanical Technician,NA,1,3,8,8,54000,070xx,NJ,13.4,129,0,0,0,56.4,141,Mar-2006,Feb-2018
Paid,891.47,10.42%,4 years,Credit card refinancing,2,174.91,IT,NA,0,1,36,4,50000,564xx,MN,25.95,144,0,1,5,91.4,185,Jul-2002,Dec-2017
Paid,708.59,10.91%,7 years,Debt consolidation,0,172.18,Conductor,NA,0,1,39,7,75000,381xx,TN,20.74,67,0,1,2,87.5,163,May-2004,Feb-2018
Paid,979.73,14.08%,< 1 year,Credit card refinancing,0,397.49,Operations manager,6,0,1,85,7,80000,212xx,MD,15.02,140,0,2,0,96.6,269,Jul-1995,Feb-2018
Paid,780.87,11.99%,2 years,Debt consolidation,0,83.27,Manager,2,0,4,103,7,250000,752xx,TX,2.64,51,0,3,0,9,52,Aug-2013,Feb-2018
Paid,582.58,12.62%,< 1 year,Debt consolidation,0,245.39,Administrator,7,0,2,93,9,135000,750xx,TX,10.22,139,720,1,2,69.2,162,Jun-2004,Feb-2018
Paid,520.16,12.62%,7 years,Debt consolidation,1,219.1,Director,23,0,3,53,6,245000,601xx,IL,34.26,148,106,0,4,64.4,410,Aug-1983,Feb-2018
Paid,223.62,6.72%,10+ years,Medical expenses,0,35,Payroll Supr.,NA,0,0,62,2,62500,595xx,MT,10.6,152,0,2,8,54.5,186,Jun-2002,Feb-2018
Paid,832.26,12.62%,3 years,Home improvement,0,350.56,Auto body tech,13,0,1,68,7,120000,347xx,FL,6.43,119,0,1,0,91,169,Nov-2003,Jan-2018
Paid,500.18,10.42%,10+ years,Debt consolidation,1,180.9,Assistant Finance Director,1,0,3,48,2,154000,782xx,TX,4.67,183,0,0,1,54.6,251,Jan-1997,Feb-2018
Paid,190.6,7.97%,NA,Debt consolidation,0,42.51,NA,5,0,2,83,5,28800,349xx,FL,21.88,94,0,1,0,86,225,Mar-1999,Feb-2018
Paid,546.66,20.00%,10+ years,Home improvement,0,320.14,Operations Manager,14,0,1,75,5,52000,640xx,MO,28.83,23,0,1,0,60,287,Jan-1994,Feb-2018
Paid,747.41,14.08%,7 years,Debt consolidation,0,342.23,Executive Vice President,4,0,9,53,16,200000,926xx,CA,24.26,138,0,0,2,33.1,231,Sep-1998,Feb-2018
Paid,785.77,9.44%,10+ years,Debt consolidation,0,167.83,Managing Director,18,0,2,56,8,300000,201xx,VA,3.72,151,0,1,0,57.8,150,May-2005,Feb-2018
Paid,89.45,6.72%,2 years,Other,0,14,Owner,9,0,1,61,4,50000,404xx,KY,36.8,153,0,2,5,10.2,215,Jan-2000,Feb-2018
Paid,339.41,9.93%,9 years,Credit card refinancing,0,75.86,Submissions,2,0,1,6,7,110000,070xx,NJ,17.22,266,0,2,0,40.1,225,Oct-1995,Feb-2018
Paid,444.71,24.85%,2 years,Debt consolidation,0,211.82,Digital Marketing Manager,7,0,9,84,7,45000,023xx,MA,33.28,75,0,3,0,33.7,23,Sep-2011,Feb-2018
Paid,264.41,10.42%,NA,Debt consolidation,0,111.14,NA,5,0,1,NA,3,72000,349xx,FL,5.99,109,0,0,0,33.9,156,Dec-2004,Feb-2018
Paid,596.32,6.72%,10+ years,Credit card refinancing,0,93.33,Realtor,7,1,5,57,12,400000,281xx,NC,4.86,129,0,2,0,51.6,228,Dec-1998,Feb-2018
Paid,401.12,9.93%,10+ years,Debt consolidation,1,89.64,Special Education Teacher,6,0,6,NA,14,85000,462xx,IN,7.99,189,447,0,0,63.6,113,Nov-2001,Jan-2018
Paid,551.66,28.72%,< 1 year,Major purchase,1,398.89,Lvn,11,0,3,89,3,70000,925xx,CA,7.71,122,450,1,0,49.6,78,Oct-2007,Feb-2018
Paid,298.17,6.72%,5 years,Other,1,46.67,RN,8,0,2,18,7,70000,327xx,FL,34.01,162,0,1,1,34.9,213,Mar-2000,Feb-2018
Paid,126.18,11.99%,10+ years,Home improvement,0,33.31,Warehouse,21,0,0,76,1,36000,671xx,KS,21.03,126,0,4,7,87,115,Jun-2007,Feb-2018
Paid,396.68,9.93%,6 years,Debt consolidation,0,137.92,Shift coordinator,NA,0,3,45,11,45000,134xx,NY,28.11,146,0,1,0,39.9,163,May-2004,Feb-2018
Paid,264.39,5.32%,10+ years,Credit card refinancing,0,33.25,District Sales Manager,12,0,2,54,9,158000,140xx,NY,6.74,184,0,1,0,27.7,295,May-1993,Feb-2018
Paid,141.01,5.32%,2 years,Medical expenses,0,17.73,Crane Operator,17,0,0,45,7,143000,400xx,KY,7.88,137,0,1,9,0.1,119,Jul-2006,Feb-2018
Paid,296.15,6.08%,7 years,Car financing,0,42.23,Porter,5,0,2,NA,11,54000,114xx,NY,0.56,NA,0,0,0,0.4,259,May-1996,Feb-2018
Paid,300.17,7.35%,10+ years,Credit card refinancing,0,51.04,School Psychologist,5,0,2,39,8,90000,494xx,MI,16.07,184,0,1,2,49,218,Oct-1999,Feb-2018
Paid,141.93,22.91%,5 years,Debt consolidation,0,63.64,Local Account Executive,1,0,2,97,8,55000,287xx,NC,11.35,41,0,2,0,37.3,134,Oct-2006,Feb-2018
Paid,520.16,12.62%,1 year,Credit card refinancing,0,219.1,Practice Administrator,5,0,2,86,11,105000,104xx,NY,24.75,159,0,2,0,67.9,220,Aug-1999,Feb-2018
Paid,245.55,9.44%,10+ years,Major purchase,0,52.44,Administrative Coordinator,5,0,1,86,5,84498,104xx,NY,11.62,91,0,3,0,7.7,176,Jun-1976,Feb-2018
Paid,221.04,16.02%,4 years,Home improvement,10,111.25,"Environmental, Health, Safety Mgr",19,0,0,96,1,100000,924xx,CA,11.63,129,0,1,2,29.9,185,Jul-2002,Feb-2018
Paid,427.09,14.08%,10+ years,Home improvement,0,195.56,Owner,6,1,0,50,5,60000,221xx,VA,12.26,122,0,1,1,0,200,Apr-2001,Feb-2018
Paid,906.47,7.97%,1 year,Debt consolidation,0,166.04,Estimator,5,0,2,NA,1,70000,336xx,FL,0,267,0,0,0,0,131,Aug-1995,Feb-2018
Paid,10434.52,15.05%,1 year,Debt consolidation,0,163.04,Sales,4,0,6,85,5,41000,331xx,FL,11.86,23,0,4,0,10.6,54,Jun-2013,Feb-2018
Paid,312.43,11.99%,10+ years,Debt consolidation,0,89.52,UXO Technician,15,0,3,52,8,140000,275xx,NC,23.05,196,0,1,0,96.5,365,Jul-1987,Feb-2018
Paid,237.16,20.00%,NA,Debt consolidation,0,138.89,NA,8,0,1,41,3,22000,630xx,MO,26.95,76,0,0,0,84.5,62,Aug-2011,Feb-2018
Paid,571.28,30.79%,10+ years,Debt consolidation,1,427.64,Associate CIO,3,0,4,51,16,254000,221xx,VA,16.86,136,0,7,2,83.6,216,Dec-1999,Feb-2018
Paid,104.46,10.91%,NA,Other,0,25.38,NA,NA,0,1,100,7,75000,945xx,CA,21.49,105,0,1,7,58.5,642,Jun-1964,Feb-2018
Paid,856.92,30.79%,10+ years,Other,1,641.46,Supervsir,16,0,1,83,12,40000,103xx,NY,30.86,115,0,1,0,18.4,148,Aug-2005,Feb-2018
Paid,282.45,15.05%,10+ years,Debt consolidation,0,135.87,Sales manager,NA,0,0,62,5,72000,333xx,FL,11.17,88,0,0,6,76.5,149,Jul-2005,Feb-2018
Paid,184.16,9.44%,10+ years,Medical expenses,0,39.33,Clinical Program Manager,13,0,1,88,3,160000,954xx,CA,0.83,299,2497,0,4,42.8,239,Jan-1993,Feb-2018
Paid,854.17,14.08%,10+ years,Other,0,391.11,Owner/ Financial Professional,NA,0,1,NA,7,143000,152xx,PA,2.17,149,0,0,0,55.9,167,Jan-2004,Feb-2018
Paid,1085.62,10.42%,10+ years,Other,0,253.27,Room att,5,1,2,55,10,55000,900xx,CA,23.69,250,65,2,1,16.5,117,Feb-1997,Feb-2018
Paid,36.03,7.35%,3 years,Debt consolidation,0,6.13,Technician,1,0,1,102,5,24000,606xx,IL,16.4,61,0,4,0,17.4,65,Jul-2012,Feb-2018
Paid,913.18,10.42%,3 years,Debt consolidation,0,196.62,Finance,11,0,2,103,2,55000,981xx,WA,17.48,112,0,1,0,83.3,85,Aug-2008,Feb-2018
Paid,177.41,22.91%,2 years,Debt consolidation,1,79.55,IT Manager,2,0,3,93,11,145000,441xx,OH,28.54,158,0,4,4,97,171,Sep-2003,Feb-2018
Paid,745.41,6.72%,10+ years,Debt consolidation,0,116.67,Office Manager,18,0,0,69,7,40000,167xx,PA,22.08,162,0,1,0,35.7,413,Jul-1983,Feb-2018
Paid,120.87,7.97%,6 years,Debt consolidation,0,22.14,Quality Technician,11,0,0,61,5,48000,392xx,MS,12.85,51,697,0,0,5,196,Aug-2001,Dec-2017
Paid,1362.91,13.59%,10+ years,Debt consolidation,0,537.06,Journeyman Electrician,6,0,2,22,11,80000,550xx,MN,24.23,144,0,0,0,61.7,219,Sep-1999,Dec-2017
Paid,243.21,10.91%,< 1 year,Debt consolidation,0,59.09,Program Coordinator,NA,0,0,119,3,37750,633xx,MO,8.84,124,96,0,0,95.8,100,Aug-2007,Feb-2018
Paid,330.99,28.72%,6 years,Debt consolidation,0,239.33,Sales Associate,0,0,2,NA,3,19200,117xx,NY,5.75,140,0,0,0,83.4,146,Oct-2005,Feb-2018
Paid,308.56,9.93%,10+ years,Debt consolidation,0,68.96,Inspector,22,0,4,NA,11,49000,280xx,NC,16.53,74,1491,0,0,51.4,293,Jul-1993,Feb-2018
Paid,362.6,7.97%,< 1 year,Home improvement,0,66.42,Network Engineer,2,0,2,100,6,65000,554xx,MN,13.52,104,0,2,1,26.8,130,Feb-2007,Feb-2018
Paid,124.07,10.42%,10+ years,Credit card refinancing,1,28.94,Driver,0,0,4,35,8,115000,112xx,NY,15.72,57,0,3,4,23.5,99,Sep-2009,Feb-2018
Paid,246.85,9.93%,3 years,Credit card refinancing,1,55.17,Pharmacy Technician,6,0,1,89,3,50000,083xx,NJ,20.33,87,0,0,0,97.1,87,Sep-2010,Feb-2018
Paid,346.99,11.99%,9 years,Credit card refinancing,0,91.59,Heavy Equipment Operator,NA,0,0,51,3,83000,997xx,AK,8.89,113,0,1,5,99.2,121,Nov-2007,Feb-2018
Paid,188.08,6.08%,3 years,Debt consolidation,0,21.11,Digital Marketing,3,0,1,37,7,150000,473xx,IN,6.52,56,0,1,0,5.5,299,Jan-1993,Feb-2018
Paid,779.43,14.08%,7 years,Debt consolidation,0,356.89,Hairdresser,22,0,1,53,5,35000,454xx,OH,29.73,203,0,1,1,67.9,216,Dec-1999,Dec-2017
Paid,961.74,13.59%,9 years,Debt consolidation,0,395.45,Prospective Payment System Coordinator,19,0,0,30,4,30000,100xx,NY,67.28,119,0,1,0,85.3,122,Oct-2007,Feb-2018
Paid,423.38,13.59%,5 years,Debt consolidation,0,188.75,Sales Associate,1,0,1,NA,7,77000,327xx,FL,14.84,161,0,2,3,21.6,296,Apr-1993,Feb-2018
Paid,392.81,7.97%,9 years,Credit card refinancing,0,71.95,rn,4,0,0,28,7,70000,640xx,MO,13.29,138,0,2,1,32.7,180,Dec-2002,Feb-2018
Paid,195.11,7.35%,9 years,Home improvement,1,33.17,Manager,3,0,4,81,25,110000,254xx,WV,23.78,148,0,3,1,31,225,Mar-1999,Feb-2018
Paid,592.28,6.08%,5 years,Debt consolidation,0,84.44,vp,1,0,1,NA,18,50000,290xx,SC,4.1,102,0,1,2,25.7,211,May-2000,Feb-2018
Paid,442.08,16.02%,4 years,Debt consolidation,3,222.5,Tractor Trailer Driver,17,1,0,67,5,65000,208xx,MD,17.58,109,0,0,4,NA,109,Jan-2003,Feb-2018
Paid,257.29,7.35%,1 year,Credit card refinancing,0,48.02,Office Assistant,NA,0,1,34,3,31500,276xx,NC,24.23,147,0,0,0,78.9,122,Sep-2005,Feb-2018
Paid,617.11,9.93%,2 years,Debt consolidation,0,137.92,Vice President,4,1,3,76,6,211000,530xx,WI,8.52,133,0,1,1,20.3,151,Mar-2002,Feb-2018
Paid,266.6,17.09%,10+ years,Other,0,94.94,Porter/ doorman,NA,0,3,NA,5,63000,100xx,NY,5.83,NA,0,0,0,39.6,191,Jan-2002,Feb-2018
Paid,599.4,10.91%,10+ years,Debt consolidation,0,125.14,Manager,6,0,3,46,10,30000,952xx,CA,27.28,118,2964,1,1,80.5,198,Jun-2001,Feb-2018
Paid,200.08,10.42%,3 years,Debt consolidation,0,72.36,Software Engineer,3,0,2,61,13,78000,432xx,OH,21.92,135,0,1,2,31.4,123,Aug-2006,Feb-2018
Paid,308.56,9.93%,8 years,Home improvement,0,68.96,executive,1,0,2,65,5,98000,300xx,GA,18.49,177,2515,2,0,35.5,67,Mar-2003,Feb-2018
Paid,314.73,9.93%,9 years,Credit card refinancing,1,70.33,Executive Assistant,0,0,1,28,5,65000,775xx,TX,49.13,181,0,1,0,45.7,139,Nov-2002,Feb-2018
Paid,596.32,6.72%,3 years,Debt consolidation,0,93.33,Installer,7,0,0,81,5,88000,493xx,MI,24.36,150,0,3,5,37.7,167,Jan-2004,Feb-2018
Paid,472.76,7.35%,10+ years,Debt consolidation,1,80.39,Service Coordinator,4,0,1,NA,8,96500,968xx,HI,12.22,139,0,2,0,10.7,175,May-2003,Feb-2018
Paid,124.21,14.08%,7 years,Credit card refinancing,0,37.64,Surveillance Lead Operator,3,0,0,69,4,38000,386xx,MS,20.06,102,66,0,0,86.8,122,Oct-2007,Feb-2018
Paid,384.98,6.08%,1 year,Credit card refinancing,0,54.89,Food Service Director,16,0,3,NA,5,60000,951xx,CA,3.9,NA,0,0,0,29.6,82,Feb-2011,Feb-2018
Paid,384.38,14.08%,3 years,Major purchase,0,176,Food and Beverage Assistant Manager,1,0,1,95,1,33000,321xx,FL,19.14,70,257,1,2,NA,140,Apr-2006,Feb-2018
Paid,384.69,19.03%,< 1 year,Debt consolidation,1,218.05,Attorney,NA,0,0,118,2,72000,914xx,CA,6.13,160,0,0,0,98.4,213,Mar-2000,Feb-2018
Paid,285.83,14.08%,3 years,Credit card refinancing,0,68.44,Assistant Superintendent,5,0,2,94,3,52000,752xx,TX,31.64,14,0,3,0,64.7,38,Oct-2014,Feb-2018
Paid,67.35,18.06%,2 years,Moving and relocation,2,25.08,ACCOUNTING MANAGER,3,0,4,169,9,100000,900xx,CA,12.62,133,0,1,0,68,213,Mar-2000,Feb-2018
Paid,651.37,10.42%,10+ years,Credit card refinancing,0,151.96,Director,2,0,3,45,7,210000,948xx,CA,10.29,190,0,2,0,77.2,135,Feb-1990,Feb-2018
Paid,365.71,23.88%,< 1 year,Debt consolidation,0,169.15,Pro-Services Sales Associate,10,0,2,68,2,30415,760xx,TX,25.89,91,0,1,0,98.8,42,Aug-2003,Feb-2018
Paid,816.2,14.08%,9 years,Home improvement,0,247.37,Ceo,1,0,5,85,11,125000,606xx,IL,19.37,69,0,3,2,16.5,196,Aug-2001,Feb-2018
Paid,249.45,10.91%,4 years,Credit card refinancing,0,60.61,LPN,NA,0,0,57,5,38188,296xx,SC,35.17,157,0,1,0,58.1,212,Apr-2000,Feb-2018
Paid,467.1,21.45%,10+ years,Debt consolidation,0,286,high school teacher,13,0,2,56,6,64000,757xx,TX,30.86,160,0,2,1,80.1,220,Aug-1999,Feb-2018
Paid,582.85,19.03%,10+ years,Credit card refinancing,0,330.38,Information Security Manager,13,0,2,80,9,100000,207xx,MD,33.48,168,0,2,0,89.5,167,Dec-2003,Feb-2018
Paid,352.98,9.44%,10+ years,Credit card refinancing,0,75.39,Director of Hospitalist Services,5,0,1,NA,3,140000,895xx,NV,5.67,120,0,1,1,81.2,121,Nov-2007,Feb-2018
Paid,412.21,6.72%,10+ years,Credit card refinancing,0,59.12,Shift Supervisor,9,0,2,59,8,78400,550xx,MN,13.33,161,0,4,7,40.8,124,Mar-2004,Feb-2018
Paid,298.17,6.72%,10+ years,Credit card refinancing,0,46.67,Representative,9,1,1,74,5,90000,750xx,TX,23.11,75,0,3,0,44.3,357,Mar-1988,Feb-2018
Paid,550.36,11.99%,10+ years,Credit card refinancing,0,222.73,Rural Mail Carrier,11,0,1,70,4,67578,765xx,TX,26.25,165,0,2,0,41.9,135,Mar-2004,Feb-2018
Paid,237.16,20.00%,2 years,Debt consolidation,0,138.89,Developer,9,1,0,52,4,60000,800xx,CO,31.68,95,0,3,6,80.8,106,Feb-2009,Feb-2018
Paid,256.74,13.59%,10+ years,Other,0,75.5,Nuclear technician,1,0,7,75,7,71000,315xx,GA,18.34,114,666,3,0,18.8,43,Jan-2008,Feb-2018
Paid,728.22,12.62%,10+ years,Debt consolidation,1,306.73,President of Mid-Atlantic Region,1,0,2,60,3,215000,424xx,KY,7.26,257,0,1,0,81.5,283,May-1994,Feb-2018
Paid,180.54,7.97%,10+ years,Credit card refinancing,0,33.21,IT Business Analyst,7,0,2,105,2,108619,925xx,CA,20.42,160,0,1,0,92,160,Aug-2004,Feb-2018
Paid,245.55,9.44%,10+ years,Major purchase,0,52.44,Management,0,0,2,62,3,125000,335xx,FL,11.46,154,0,4,0,6.3,124,Feb-2005,Feb-2018
Paid,470.82,16.02%,2 years,Debt consolidation,0,236.97,Sales,5,0,1,56,5,60000,044xx,ME,18.12,67,243,2,1,84.2,160,Aug-2004,Feb-2018
